Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1387920968241.75,1444483863721.16,1546110170087.39,1666846184061.36,1825208799144.94,1988352136840.40,2157983538372.06,2296123819466.91,2478137728304.10,2733377388578.17,2988510919071.85,3301056585984.10,3805927509383.39,4643042390645.45,5351772219626.43,5961619216331.65,6481567092490.32,7331067314479.81,8633863935032.44,10028344011147.90,11305288270784.30,11695675133503.50,11579276197506.60,11806719840163.40,12238044385503.60,12871283940316.60,15219256895560.10,17323746215141.70,19347965078802.10,20147950251225.00,22717214997980.00,23704146481476.50,25415057898793.10,25865876886353.40,27938219232007.30,31132105496656.30,31848533335498.50,31768440698490.10,31748329012039.20,33030847566897.60,34178588780960.80,34055784037067.30,35560721316231.40,40185073361054.30,45516732690803.50,49623049090764.50,54228051918949.00,61836366102263.60,68877579863992.00,66287420535092.10,73017642751162.10,81492802654651.60,75356012197819.80,77427439138269.80,79531097761850.90,75100825214751.40,76293996698867.40,81181875700323.90,86251213548662.30,87555184716740.50,84679924814733.70
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,1065825231226.87,1128188053062.21,1217843151575.79,1311893362682.00,1431970731998.64,1555049307658.30,1705902828129.20,1830247363131.04,1984777604075.36,2183666823286.04,2385693597358.39,2648518549392.61,3072327349661.05,3717504356634.43,4191463385487.22,4676955838171.68,5096463903768.41,5771656805103.18,6916026871077.47,7996436962559.90,8931000940233.44,9065979662772.56,8981153561674.90,9273155431569.74,9672981505324.13,10156596452882.60,12333410198128.70,14295374895257.00,16099222848004.00,16846401134509.40,18934047768379.50,20034824574743.00,21555707350831.80,21720672634296.90,23379690855826.30,25962407546073.70,26185586139658.40,25737021726991.10,25827797474275.30,27134771153453.90,27690169594513.00,27419882034150.50,28567754886264.00,32029418941025.20,35652391186287.60,37705265755282.90,39813234675665.80,43527882951565.00,46269935859753.80,43390040991340.60,45481013858593.20,49099851217633.90,49148185638834.90,49739523658093.30,50824214038638.60,48045573040689.00,49086530851972.40,51306901274542.30,54542278698896.40,55034358393932.50,53396287182546.20
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,1080922981905.54,1136640781343.86,1226904913527.29,1322445570819.53,1445364795431.85,1568735370320.47,1721760041165.14,1848298632184.29,2004941971123.13,2205473071981.34,2403724567303.72,2662042987061.49,3087918975128.45,3730743638866.74,4180195577464.03,4685403275723.04,5081490005351.39,5732825564743.04,6887361578909.34,7955677031652.44,8841766912790.81,9000832732019.01,8866175724501.47,9156194303891.88,9575763726481.44,10085317596960.80,12215381330579.10,14146636176184.50,15945549774753.40,16686842763161.90,18798023223111.90,19895938493194.60,21398668236916.10,21690689924186.60,23274311299271.80,25657405842625.40,25873278788541.10,25478427046034.20,25739267938413.60,27030874196401.10,27613249819170.00,27359743820857.40,28530594978307.60,31929301935405.70,35546119817019.50,37600104867063.10,39668032523351.10,43407506423619.60,46011593222716.50,43071862273948.30,45189146600132.40,48610827426814.30,48580091683230.40,49230642034494.20,50263889809025.40,47463898846647.90,48397984326277.60,50501618709816.20,53465599782252.10,53983534015764.80,52336889834245.60
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,1046363632040.01,1106329632253.32,1194551168330.78,1286748235829.33,1403864556376.88,1525267930468.87,1673010680882.54,1795945917271.49,1948022446210.86,2141937832030.07,2338917433982.05,2593237303647.53,3008239458844.19,3632011368064.87,4056192354871.83,4544875820280.30,4931757420682.77,5575660842288.11,6699567679562.19,7702825289718.23,8529728496186.59,8626163474008.67,8588352672604.71,8912803328321.35,9314451244481.77,9808051181505.69,11984100108098.50,13894943873868.60,15652659817231.10,16348050910936.10,18350048061415.10,19375773963973.80,20806405239953.90,20946807089955.80,22523178749859.10,24976744274171.00,25095170446089.60,24600447558960.60,24707800620018.80,25940385523059.60,26380608834749.30,26132147128591.10,27241373817019.20,30555902150617.90,33949747460629.30,35738107370927.60,37607826645481.30,41025496632875.30,43378274644683.20,40866971091636.20,42629950239297.40,45786834754035.70,45736830487196.80,46190856863374.70,47132834889148.10,44639629214327.10,45663052438816.60,47592585202958.40,50482183425709.60,50984176954366.50,49538687319472.30
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,358956982794.63,346385461738.27,357528866336.28,386087410162.14,428406851732.89,471652977666.14,490196041331.07,501960062465.49,529612584814.98,591649426329.22,648824021921.90,700249204710.90,780517296834.18,996743807886.74,1266284641779.70,1384752417914.14,1493191455401.86,1684779380980.32,1827262682325.34,2178651940544.84,2578194735208.07,2901102860682.48,2851536616006.30,2742748711469.22,2759401487513.12,2921879894508.11,3033623485992.80,3126928165616.94,3328978109008.56,3387699204568.95,3882626451158.91,3789509161418.99,3998253776407.89,4295673894345.78,4729464036316.57,5390095813867.62,5914426131272.47,6292340087164.53,6196168480416.27,6154335238825.26,6747892261831.86,6906801063444.62,7265726946101.68,8457851974940.55,10234235033577.70,12367660323034.70,14934470946101.30,18941685275790.30,23370837674917.90,23542061096824.70,28270673055207.50,33214500657280.10,27009287505004.00,28526961910861.20,29544690997295.20,27793920843503.20,27942727103811.30,30703376890485.20,32622680829699.10,33421015918870.10,32137318048800.60
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,341377479789.25,326404977354.55,334888586228.33,362180471471.84,405806458347.05,448723264647.42,465491213452.14,476942699914.10,503351427257.90,562850543950.04,617070951875.66,664270516865.64,743136891062.95,945861227074.15,1201652023419.31,1330619658193.04,1429648337302.82,1606820261107.89,1743932852870.51,2069246155136.58,2434270292011.33,2734606766048.34,2697770384118.39,2604498398464.46,2634387310158.32,2793826781440.44,2907995343338.18,3010893047830.37,3192288848767.09,3262348198622.61,3739353626232.77,3608794564332.41,3787979605534.88,4078882576153.18,4493826472744.56,5085138084412.21,5585805439528.49,5939663183033.94,5823078215660.06,5791160393174.38,6364897970619.40,6506916816760.19,6893912940506.03,8065441188389.95,9745216897258.87,11766494780220.30,14226816501985.70,18075588222606.50,22291337442397.00,22567539367990.70,27143978622584.60,32077613044283.10,25826217907666.10,27316860781704.30,28224468593953.10,26795927102275.70,26943962906778.50,29594782323029.90,31411239801225.40,32218673113471.30,30991171994192.00
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,329345282315.21,313972714207.55,320653553492.76,343820267240.32,391554216670.25,431955524313.31,447155113289.32,459245368173.75,484828337126.86,541839188222.11,595116805140.25,639936026260.36,716659626449.26,914224889852.08,1162401033816.02,1284418697425.94,1380652330761.20,1548947667076.97,1678862472581.10,1997548367781.84,2358775329698.72,2655400193371.24,2615725332891.33,2525318420268.51,2557222189094.03,2709312967309.51,2808489473037.77,2892656262793.18,3095206843954.55,3163434310090.95,3631677195835.57,3497708542135.94,3680375488405.52,3965924702218.65,4381570526677.77,4958460950499.30,5445446673923.38,5788966513027.49,5669090950632.15,5634836397074.38,6182937909715.09,6324853139563.80,6698900500682.19,7851596404955.25,9493965164930.53,11466715614840.30,13878450529347.70,17654675401285.80,21786298694735.30,22056618142682.80,26576330926057.80,31671307128125.60,25443025238241.20,26922118067747.40,27802360224685.00,26380350797716.60,26558023228732.30,29186000510333.60,30985606994094.40,31771082836908.00,30535343464998.70
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,322700472691.91,306433450443.97,313869362234.67,336673720648.36,381010524876.48,418195539681.20,431651396036.59,443060810011.63,467658616694.40,522036515298.51,567558272473.22,619518551406.09,697510925108.27,903180026474.74,1138413053121.52,1229689084329.55,1332611959756.09,1510008145375.38,1627591384849.45,1946257057630.12,2303527079233.39,2484312385899.63,2459794864490.24,2420257043798.88,2465210531975.78,2616274254368.71,2723018015176.29,2784985791992.89,2999848983708.77,3057898953291.07,3517668586759.41,3412877929373.59,3615396437836.77,3908994103031.26,4326037723365.27,4909654262590.31,5361806403535.15,5685409302404.41,5520376747904.04,5376190499594.47,5850631756845.15,5922388164176.13,6012382611535.14,6759359903080.80,8057540852190.00,9634690134854.73,11421555570703.50,14191882315355.80,17033135388782.30,16524646886742.50,20069233888439.90,23696138171256.40,25189109238990.80,26606911798876.80,27504267603927.40,25777855012106.60,25985815318089.00,28680103566456.80,30478923454219.70,31184076970102.10,29900583521576.80
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,155321662452.53,155860503348.91,159091686735.77,177513406361.32,203706489954.68,226698371448.11,253343932378.39,274465213471.74,302470671168.02,348280550269.56,410371755416.13,455266416428.94,564282597561.05,743311756155.75,856759076902.29,938148244750.32,1031354197188.91,1228904606571.72,1550043473860.88,1683897598120.27,1820378283286.97,2006340976175.79,1966702641068.23,2092310577599.10,2240651786828.82,2364132490636.26,3088046203354.11,3626750057834.56,4363904735588.92,4548625123854.95,4756243080954.77,5373074019578.00,5876946861674.41,6581999273023.83,7467360861925.00,8495174896183.54,8212541003121.61,7892481872956.38,7137784412626.10,8036292827329.82,8736846274597.31,8234723245150.93,8587231427876.64,9754220884011.63,11176140653307.30,12257092642405.50,13488941824152.20,15839618979123.30,19072847296611.40,20179873500845.50,23573538834428.10,27605073793022.10,21187106532693.00,21367649737241.00,22038396030947.80,21951401205501.80,22720684963608.30,24268504216073.00,26416317598842.30,26981455514224.50,27097404937164.80
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,247694503474.29,218421239119.89,223888727096.65,234874004304.48,269553079617.50,301160769330.87,332790171188.33,334713663605.49,349205130637.46,391400143169.02,428332259709.14,465940338640.29,530385086338.36,689567021479.78,854884777867.66,941983275335.34,993367514364.73,1098514162594.86,1178099610425.18,1430397973194.70,1662233216555.57,1796346669457.93,1716315724256.42,1628654016171.54,1679567793589.85,1773396239903.13,1802638562702.18,1923755368848.88,2127060037526.21,2193151438838.58,2588194433617.70,2505397436187.42,2621722586364.26,2879386504809.29,3195405298155.76,3595553950406.54,3909678002435.92,4185192069044.10,4134444381128.21,3905451257513.58,4312394262751.60,4336815144090.01,4374743108263.35,4901918705088.75,5877031210366.28,7065563484877.20,8393394248399.71,10423985584899.00,12715235052756.80,12224830666761.20,14840817845734.80,17890163653443.70,19157603648259.30,20578424047300.40,21218927568655.40,19921765647938.70,19820564982787.20,21939479714731.60,23638682947940.00,24035310180476.70,23150665555175.70
